sample_uid,dataset,split,neg_type,label,s_id,group_id,is_mismatch_s,style_ref_text_uid,query_text_uid
S000000021,C4NEWS,dev,NEG-Mismatch-S,0,2,2,1,21eefec9f3a47051,0609a64bf6bba0cc
S000000022,C4NEWS,dev,POS,1,3,3,0,4992a1dce60a1bce,e875df9aeda6f3e0
S000000023,C4NEWS,dev,NEG-Anchor,0,3,3,0,4992a1dce60a1bce,931e2acfafd6ec75
S000000024,C4NEWS,dev,NEG-neutral,0,3,3,0,4992a1dce60a1bce,3a00e500e7983654
S000000025,C4NEWS,dev,NEG-wrong_ref_s,0,3,3,0,4992a1dce60a1bce,2c9af31df605a39f
S000000026,C4NEWS,dev,NEG-Mismatch-S,0,3,3,1,a10da9a110834b16,e875df9aeda6f3e0
S000000027,C4NEWS,dev,NEG-Mismatch-S,0,3,3,1,208a53618e1e2104,e875df9aeda6f3e0
S000000028,C4NEWS,dev,NEG-Mismatch-S,0,3,3,1,07549e24f06edf04,e875df9aeda6f3e0
S000000036,C4NEWS,dev,POS,1,5,5,0,044b58329fc8a1df,aba5279d5d6f81b5
S000000037,C4NEWS,dev,NEG-Anchor,0,5,5,0,044b58329fc8a1df,b7b6d33088a7bd11
S000000038,C4NEWS,dev,NEG-neutral,0,5,5,0,044b58329fc8a1df,4685663e891ec2b5
S000000039,C4NEWS,dev,NEG-wrong_ref_s,0,5,5,0,044b58329fc8a1df,d971de6897f08ef5
S000000040,C4NEWS,dev,NEG-Mismatch-S,0,5,5,1,96e4dd84af38af24,aba5279d5d6f81b5
S000000041,C4NEWS,dev,NEG-Mismatch-S,0,5,5,1,336621252ce6bd6e,aba5279d5d6f81b5
S000000042,C4NEWS,dev,NEG-Mismatch-S,0,5,5,1,2f5a790762408bf0,aba5279d5d6f81b5
S000000064,C4NEWS,dev,POS,1,9,9,0,67459a43b42408b9,64087da709624c77
S000000065,C4NEWS,dev,NEG-Anchor,0,9,9,0,67459a43b42408b9,1ca914d2d5f8366c
S000000066,C4NEWS,dev,NEG-neutral,0,9,9,0,67459a43b42408b9,ee56bf99097fad67
S000000067,C4NEWS,dev,NEG-wrong_ref_s,0,9,9,0,67459a43b42408b9,91808e26c1db4efa
S000000068,C4NEWS,dev,NEG-Mismatch-S,0,9,9,1,917c78f7538475b7,64087da709624c77
S000000069,C4NEWS,dev,NEG-Mismatch-S,0,9,9,1,a9ff8fcf5c36c497,64087da709624c77
S000000070,C4NEWS,dev,NEG-Mismatch-S,0,9,9,1,6bd323d4545ed20a,64087da709624c77
S000000071,C4NEWS,dev,POS,1,10,10,0,72a0efdedc5496d5,5cc16c00917342d5
S000000072,C4NEWS,dev,NEG-Anchor,0,10,10,0,72a0efdedc5496d5,13e3eefdb89fb6c6
S000000073,C4NEWS,dev,NEG-neutral,0,10,10,0,72a0efdedc5496d5,e25e746f7338d69a
S000000074,C4NEWS,dev,NEG-wrong_ref_s,0,10,10,0,72a0efdedc5496d5,a036f51bc90f42e6
S000000075,C4NEWS,dev,NEG-Mismatch-S,0,10,10,1,9e2669f4c0a98b08,5cc16c00917342d5
S000000076,C4NEWS,dev,NEG-Mismatch-S,0,10,10,1,613de88cdc0e5060,5cc16c00917342d5
S000000077,C4NEWS,dev,NEG-Mismatch-S,0,10,10,1,126a1739bccc3bcf,5cc16c00917342d5
S000000078,C4NEWS,dev,POS,1,11,11,0,3cbfb7be6b50b23c,4d677d573673e67c
S000000079,C4NEWS,dev,NEG-Anchor,0,11,11,0,3cbfb7be6b50b23c,706d222e3bebf36a
S000000080,C4NEWS,dev,NEG-neutral,0,11,11,0,3cbfb7be6b50b23c,b4458a5abe98c02f
S000000082,C4NEWS,dev,NEG-Mismatch-S,0,11,11,1,51f624520dbd4017,4d677d573673e67c
S000000083,C4NEWS,dev,NEG-Mismatch-S,0,11,11,1,f377cd3da08cfc3c,4d677d573673e67c
S000000084,C4NEWS,dev,NEG-Mismatch-S,0,11,11,1,89259ba0ed9f7c10,4d677d573673e67c
S000000092,C4NEWS,dev,POS,1,13,13,0,e06b370eca9aef15,beb078d0966a77a0
S000000093,C4NEWS,dev,NEG-Anchor,0,13,13,0,e06b370eca9aef15,564d9fdaad85f4b9
S000000094,C4NEWS,dev,NEG-neutral,0,13,13,0,e06b370eca9aef15,edef61c02d1abe9c
S000000096,C4NEWS,dev,NEG-Mismatch-S,0,13,13,1,7f8c7ebb3f175b37,beb078d0966a77a0
S000000097,C4NEWS,dev,NEG-Mismatch-S,0,13,13,1,a5cf10be9a50245a,beb078d0966a77a0
S000000098,C4NEWS,dev,NEG-Mismatch-S,0,13,13,1,c01afc33b9ed249f,beb078d0966a77a0
S000000099,C4NEWS,dev,POS,1,14,14,0,046f4d4d7c6a611b,135ef19363e3cb52
S000000100,C4NEWS,dev,NEG-Anchor,0,14,14,0,046f4d4d7c6a611b,0fc3ce82e316d9aa
S000000101,C4NEWS,dev,NEG-neutral,0,14,14,0,046f4d4d7c6a611b,132e1e47799d1d7a
S000000102,C4NEWS,dev,NEG-wrong_ref_s,0,14,14,0,046f4d4d7c6a611b,3762b6ddff2e1123
S000000103,C4NEWS,dev,NEG-Mismatch-S,0,14,14,1,2c7967104f5ee02d,135ef19363e3cb52
S000000104,C4NEWS,dev,NEG-Mismatch-S,0,14,14,1,23e4d03a0664b7a2,135ef19363e3cb52
S000000105,C4NEWS,dev,NEG-Mismatch-S,0,14,14,1,440ba27cae0222d4,135ef19363e3cb52
S000000113,C4NEWS,dev,POS,1,16,16,0,fb454cf535741bb4,05ec43fccf7f71a1
S000000114,C4NEWS,dev,NEG-Anchor,0,16,16,0,fb454cf535741bb4,d919ab34aa621b54
S000000117,C4NEWS,dev,NEG-Mismatch-S,0,16,16,1,5790047a9795c74d,05ec43fccf7f71a1
S000000118,C4NEWS,dev,NEG-Mismatch-S,0,16,16,1,793d2f711b5c8368,05ec43fccf7f71a1
S000000119,C4NEWS,dev,NEG-Mismatch-S,0,16,16,1,9fcba79145287019,05ec43fccf7f71a1
S000000120,C4NEWS,dev,POS,1,17,17,0,677cb19dfbf0b321,cfaca96a61591e28
S000000121,C4NEWS,dev,NEG-Anchor,0,17,17,0,677cb19dfbf0b321,175358cb53b17f26
S000000122,C4NEWS,dev,NEG-neutral,0,17,17,0,677cb19dfbf0b321,eb92c16b84699386
S000000123,C4NEWS,dev,NEG-wrong_ref_s,0,17,17,0,677cb19dfbf0b321,d424a0a6c77399a6
S000000124,C4NEWS,dev,NEG-Mismatch-S,0,17,17,1,f270075b0ae567f4,cfaca96a61591e28
S000000125,C4NEWS,dev,NEG-Mismatch-S,0,17,17,1,e6e6f86f06c22a2c,cfaca96a61591e28
S000000126,C4NEWS,dev,NEG-Mismatch-S,0,17,17,1,64b4c20aa10b1697,cfaca96a61591e28
S000000127,C4NEWS,dev,POS,1,18,18,0,c472cfc1be415666,9dbbb783ec417726
S000000128,C4NEWS,dev,NEG-Anchor,0,18,18,0,c472cfc1be415666,8f21405bdee932c2
S000000129,C4NEWS,dev,NEG-neutral,0,18,18,0,c472cfc1be415666,ef034ef820123f30
S000000131,C4NEWS,dev,NEG-Mismatch-S,0,18,18,1,329d93b2f2e52824,9dbbb783ec417726
S000000132,C4NEWS,dev,NEG-Mismatch-S,0,18,18,1,1c6fb68f847ff87d,9dbbb783ec417726
S000000133,C4NEWS,dev,NEG-Mismatch-S,0,18,18,1,3703aaa476fb7ee8,9dbbb783ec417726
S000000141,C4NEWS,dev,POS,1,20,20,0,630862a1f1f5a354,8eed7d998168b3d3
S000000142,C4NEWS,dev,NEG-Anchor,0,20,20,0,630862a1f1f5a354,f4f8c5499e7b7b1c
S000000143,C4NEWS,dev,NEG-neutral,0,20,20,0,630862a1f1f5a354,424fecaf71e2c08d
S000000144,C4NEWS,dev,NEG-wrong_ref_s,0,20,20,0,630862a1f1f5a354,6c30c3a16e98225f
S000000145,C4NEWS,dev,NEG-Mismatch-S,0,20,20,1,43b2a93c75625d8a,8eed7d998168b3d3
S000000146,C4NEWS,dev,NEG-Mismatch-S,0,20,20,1,25057f9bbbcf4ccf,8eed7d998168b3d3
S000000147,C4NEWS,dev,NEG-Mismatch-S,0,20,20,1,993c6482d50b15fd,8eed7d998168b3d3
S000000148,C4NEWS,dev,POS,1,21,21,0,68102cb11c202473,f55c9c8c44811ac3
S000000149,C4NEWS,dev,NEG-Anchor,0,21,21,0,68102cb11c202473,5cac3d36c742ef25
S000000150,C4NEWS,dev,NEG-neutral,0,21,21,0,68102cb11c202473,b3b48d9726d8ca86
S000000152,C4NEWS,dev,NEG-Mismatch-S,0,21,21,1,8848a8a7e8ffc0d0,f55c9c8c44811ac3
S000000153,C4NEWS,dev,NEG-Mismatch-S,0,21,21,1,daee44d32fa304a4,f55c9c8c44811ac3
S000000154,C4NEWS,dev,NEG-Mismatch-S,0,21,21,1,2fc053df5996dccc,f55c9c8c44811ac3
S000000162,C4NEWS,dev,POS,1,23,23,0,4c01dbb92ba04f6e,a7f37962404e9e1f
S000000163,C4NEWS,dev,NEG-Anchor,0,23,23,0,4c01dbb92ba04f6e,66563bf09e15e539
S000000164,C4NEWS,dev,NEG-neutral,0,23,23,0,4c01dbb92ba04f6e,d56864b12f810fed
S000000166,C4NEWS,dev,NEG-Mismatch-S,0,23,23,1,93fab74b1c00685e,a7f37962404e9e1f
S000000167,C4NEWS,dev,NEG-Mismatch-S,0,23,23,1,6e75ea8e1e00ab32,a7f37962404e9e1f
S000000168,C4NEWS,dev,NEG-Mismatch-S,0,23,23,1,1320a9f9d7d76a83,a7f37962404e9e1f
S000000169,C4NEWS,dev,POS,1,24,24,0,327ab6d528a53d92,583e2d1c32e39f5c
S000000170,C4NEWS,dev,NEG-Anchor,0,24,24,0,327ab6d528a53d92,93a8a882bfff3781
S000000171,C4NEWS,dev,NEG-neutral,0,24,24,0,327ab6d528a53d92,5e2ab8a4bc93f3ac
S000000172,C4NEWS,dev,NEG-wrong_ref_s,0,24,24,0,327ab6d528a53d92,9441fd419143594e
S000000173,C4NEWS,dev,NEG-Mismatch-S,0,24,24,1,a57bb644a14cec2b,583e2d1c32e39f5c
S000000174,C4NEWS,dev,NEG-Mismatch-S,0,24,24,1,d909fdbe568d23b3,583e2d1c32e39f5c
S000000175,C4NEWS,dev,NEG-Mismatch-S,0,24,24,1,4c6ae7ff312d4fa7,583e2d1c32e39f5c
S000000176,C4NEWS,dev,POS,1,25,25,0,74eb01d6b90fce51,442206dba3f33ab0
S000000177,C4NEWS,dev,NEG-Anchor,0,25,25,0,74eb01d6b90fce51,2c67bef250c0ee89
S000000178,C4NEWS,dev,NEG-neutral,0,25,25,0,74eb01d6b90fce51,3d5db8bbe05a9167
S000000179,C4NEWS,dev,NEG-wrong_ref_s,0,25,25,0,74eb01d6b90fce51,6e679f3b3d102022
S000000180,C4NEWS,dev,NEG-Mismatch-S,0,25,25,1,0b4f422b690c011b,442206dba3f33ab0
S000000181,C4NEWS,dev,NEG-Mismatch-S,0,25,25,1,6abf57ebea08f17f,442206dba3f33ab0
S000000182,C4NEWS,dev,NEG-Mismatch-S,0,25,25,1,c4bc516ca44f91db,442206dba3f33ab0
S000000218,C4NEWS,dev,POS,1,31,31,0,0a0f783df10c9320,557f4c1415a0d739
S000000219,C4NEWS,dev,NEG-Anchor,0,31,31,0,0a0f783df10c9320,a04c9e8f21f70448
S000000220,C4NEWS,dev,NEG-neutral,0,31,31,0,0a0f783df10c9320,d33e00650af79035
S000000221,C4NEWS,dev,NEG-wrong_ref_s,0,31,31,0,0a0f783df10c9320,331e45b8f045cc4a
S000000222,C4NEWS,dev,NEG-Mismatch-S,0,31,31,1,5d0f80b81cc7a674,557f4c1415a0d739
S000000223,C4NEWS,dev,NEG-Mismatch-S,0,31,31,1,bfe1f0dc86a249bf,557f4c1415a0d739
S000000224,C4NEWS,dev,NEG-Mismatch-S,0,31,31,1,96b2359bc59ec3df,557f4c1415a0d739
S000000232,C4NEWS,dev,POS,1,33,33,0,3ad5166d547bf93a,13fe5af974acc1dc
S000000233,C4NEWS,dev,NEG-Anchor,0,33,33,0,3ad5166d547bf93a,11c31de40cd7c756
S000000234,C4NEWS,dev,NEG-neutral,0,33,33,0,3ad5166d547bf93a,3d2286e1e8be1560
S000000235,C4NEWS,dev,NEG-wrong_ref_s,0,33,33,0,3ad5166d547bf93a,6a3e4ddea70fd1c9
S000000236,C4NEWS,dev,NEG-Mismatch-S,0,33,33,1,56a40a2857ee9a5b,13fe5af974acc1dc
S000000237,C4NEWS,dev,NEG-Mismatch-S,0,33,33,1,e447fd1ef4723939,13fe5af974acc1dc
S000000238,C4NEWS,dev,NEG-Mismatch-S,0,33,33,1,f316fd406e79a9dc,13fe5af974acc1dc
S000000239,C4NEWS,dev,POS,1,34,34,0,e28720a90c731596,b1189a207736b87f
S000000240,C4NEWS,dev,NEG-Anchor,0,34,34,0,e28720a90c731596,4893af2df2a24d26
S000000241,C4NEWS,dev,NEG-neutral,0,34,34,0,e28720a90c731596,55e7291a6f7810ed
S000000242,C4NEWS,dev,NEG-wrong_ref_s,0,34,34,0,e28720a90c731596,834a1c2e561e7c46
S000000243,C4NEWS,dev,NEG-Mismatch-S,0,34,34,1,e2f4b2a45ecafd52,b1189a207736b87f
S000000244,C4NEWS,dev,NEG-Mismatch-S,0,34,34,1,8b82e73154787f37,b1189a207736b87f
S000000245,C4NEWS,dev,NEG-Mismatch-S,0,34,34,1,c304771ecd2442b9,b1189a207736b87f
S000000246,C4NEWS,dev,POS,1,35,35,0,3b1c27c4891b5fd0,6bb0b31f2c17b57c
S000000247,C4NEWS,dev,NEG-Anchor,0,35,35,0,3b1c27c4891b5fd0,ff74241024ae2950
S000000248,C4NEWS,dev,NEG-neutral,0,35,35,0,3b1c27c4891b5fd0,9f8accbd9c3ac579
S000000249,C4NEWS,dev,NEG-wrong_ref_s,0,35,35,0,3b1c27c4891b5fd0,c68dc43d41737af9
S000000250,C4NEWS,dev,NEG-Mismatch-S,0,35,35,1,52c4da6ed7ccbf9d,6bb0b31f2c17b57c
S000000251,C4NEWS,dev,NEG-Mismatch-S,0,35,35,1,71b83de1264038a2,6bb0b31f2c17b57c
S000000252,C4NEWS,dev,NEG-Mismatch-S,0,35,35,1,e07c5272bfbbb57a,6bb0b31f2c17b57c
S000000253,C4NEWS,dev,POS,1,36,36,0,cb05957127b9ede9,093b7f74e08fcbb1
S000000254,C4NEWS,dev,NEG-Anchor,0,36,36,0,cb05957127b9ede9,dd14a26330bed2bf
S000000255,C4NEWS,dev,NEG-neutral,0,36,36,0,cb05957127b9ede9,90223aa0c0bf32ff
S000000257,C4NEWS,dev,NEG-Mismatch-S,0,36,36,1,363a40e1071886fc,093b7f74e08fcbb1
S000000258,C4NEWS,dev,NEG-Mismatch-S,0,36,36,1,fcc8d52a51c34169,093b7f74e08fcbb1
S000000259,C4NEWS,dev,NEG-Mismatch-S,0,36,36,1,1a1ecd27f26dccc6,093b7f74e08fcbb1
S000000260,C4NEWS,dev,POS,1,37,37,0,0bc28a89736f28bf,aacd716323117580
S000000261,C4NEWS,dev,NEG-Anchor,0,37,37,0,0bc28a89736f28bf,2d4a6bc4e1345325
S000000262,C4NEWS,dev,NEG-neutral,0,37,37,0,0bc28a89736f28bf,2002f7e8ff8bce53
S000000263,C4NEWS,dev,NEG-wrong_ref_s,0,37,37,0,0bc28a89736f28bf,c35fe11a2a002ac6
S000000264,C4NEWS,dev,NEG-Mismatch-S,0,37,37,1,c5dd6a898f327bb8,aacd716323117580
S000000265,C4NEWS,dev,NEG-Mismatch-S,0,37,37,1,ddd8fe1426812dd0,aacd716323117580
S000000266,C4NEWS,dev,NEG-Mismatch-S,0,37,37,1,7d2f65f49171e9e3,aacd716323117580
S000000274,C4NEWS,dev,POS,1,39,39,0,14a14ded059adf2f,b5458586128d5ca4
S000000275,C4NEWS,dev,NEG-Anchor,0,39,39,0,14a14ded059adf2f,7827e51285b502bc
S000000276,C4NEWS,dev,NEG-neutral,0,39,39,0,14a14ded059adf2f,8de3146ab2d33d21
S000000277,C4NEWS,dev,NEG-wrong_ref_s,0,39,39,0,14a14ded059adf2f,20f0d4614c6b6cc5
S000000278,C4NEWS,dev,NEG-Mismatch-S,0,39,39,1,8f8a6fbf2bf5d56c,b5458586128d5ca4
S000000279,C4NEWS,dev,NEG-Mismatch-S,0,39,39,1,ae53708df215f55c,b5458586128d5ca4
S000000280,C4NEWS,dev,NEG-Mismatch-S,0,39,39,1,9ccbca5a36e47908,b5458586128d5ca4
S000000281,C4NEWS,dev,POS,1,40,40,0,60c2267d44832c63,de8d0aad5f6d8ee7
S000000282,C4NEWS,dev,NEG-Anchor,0,40,40,0,60c2267d44832c63,4e7b8b07d354ac6a
S000000283,C4NEWS,dev,NEG-neutral,0,40,40,0,60c2267d44832c63,69647f070084ea65
S000000284,C4NEWS,dev,NEG-wrong_ref_s,0,40,40,0,60c2267d44832c63,ece4cf5681f83712
S000000285,C4NEWS,dev,NEG-Mismatch-S,0,40,40,1,61cff700bd39c5bb,de8d0aad5f6d8ee7
S000000286,C4NEWS,dev,NEG-Mismatch-S,0,40,40,1,5951c775b03e03c9,de8d0aad5f6d8ee7
S000000287,C4NEWS,dev,NEG-Mismatch-S,0,40,40,1,e308fa4066254c65,de8d0aad5f6d8ee7
S000000288,C4NEWS,dev,POS,1,41,41,0,019ce106fd54ab0a,7f8e49ffe2b94eaf
S000000289,C4NEWS,dev,NEG-Anchor,0,41,41,0,019ce106fd54ab0a,7f3ebf60c4653a3c
S000000290,C4NEWS,dev,NEG-neutral,0,41,41,0,019ce106fd54ab0a,7479f9aa3ac41011
S000000291,C4NEWS,dev,NEG-wrong_ref_s,0,41,41,0,019ce106fd54ab0a,8e592741dac5fc16
S000000292,C4NEWS,dev,NEG-Mismatch-S,0,41,41,1,8d2d153a11fc66d5,7f8e49ffe2b94eaf
S000000293,C4NEWS,dev,NEG-Mismatch-S,0,41,41,1,d45d7f6dd1310c8a,7f8e49ffe2b94eaf
S000000294,C4NEWS,dev,NEG-Mismatch-S,0,41,41,1,78dd452ab495d159,7f8e49ffe2b94eaf
S000000295,C4NEWS,dev,POS,1,42,42,0,6205db3c1755bf9d,92ade81cc2a69f96
S000000296,C4NEWS,dev,NEG-Anchor,0,42,42,0,6205db3c1755bf9d,fa6c719c4ec6e491
S000000297,C4NEWS,dev,NEG-neutral,0,42,42,0,6205db3c1755bf9d,c37ec37ca00ed547
S000000299,C4NEWS,dev,NEG-Mismatch-S,0,42,42,1,8f93e57c4b9e53da,92ade81cc2a69f96
S000000300,C4NEWS,dev,NEG-Mismatch-S,0,42,42,1,64e4248d51a13d46,92ade81cc2a69f96
S000000301,C4NEWS,dev,NEG-Mismatch-S,0,42,42,1,1ce7c49ddbe0dd29,92ade81cc2a69f96
S000000309,C4NEWS,dev,POS,1,44,44,0,b791eb6eb015d5d2,3232455e6b24687d
S000000310,C4NEWS,dev,NEG-Anchor,0,44,44,0,b791eb6eb015d5d2,a5f365edbfdc77b3
S000000311,C4NEWS,dev,NEG-neutral,0,44,44,0,b791eb6eb015d5d2,06a424f19cf8bd56
S000000313,C4NEWS,dev,NEG-Mismatch-S,0,44,44,1,61c95fd4613c45cb,3232455e6b24687d
S000000314,C4NEWS,dev,NEG-Mismatch-S,0,44,44,1,3e2737ddda21ca87,3232455e6b24687d
S000000315,C4NEWS,dev,NEG-Mismatch-S,0,44,44,1,3b1c27c4891b5fd0,3232455e6b24687d
S000000316,C4NEWS,dev,POS,1,45,45,0,d5ab2c44ed357e68,650a0030cee6fa75
S000000317,C4NEWS,dev,NEG-Anchor,0,45,45,0,d5ab2c44ed357e68,40b1bab0e0fd85ae
S000000318,C4NEWS,dev,NEG-neutral,0,45,45,0,d5ab2c44ed357e68,625936060988022c
S000000319,C4NEWS,dev,NEG-wrong_ref_s,0,45,45,0,d5ab2c44ed357e68,29819397c6c40cf5
S000000320,C4NEWS,dev,NEG-Mismatch-S,0,45,45,1,c1e939d245dc7881,650a0030cee6fa75
S000000321,C4NEWS,dev,NEG-Mismatch-S,0,45,45,1,b19a07d3461d41d8,650a0030cee6fa75
S000000322,C4NEWS,dev,NEG-Mismatch-S,0,45,45,1,5c658ca881094158,650a0030cee6fa75
S000000323,C4NEWS,dev,POS,1,46,46,0,6f21a5f7f2034eab,5186fb1971fcf66c
S000000324,C4NEWS,dev,NEG-Anchor,0,46,46,0,6f21a5f7f2034eab,5b03c1d13a0cdadf
S000000325,C4NEWS,dev,NEG-neutral,0,46,46,0,6f21a5f7f2034eab,f11260e4bc7772bf
S000000326,C4NEWS,dev,NEG-wrong_ref_s,0,46,46,0,6f21a5f7f2034eab,faebc8bf08e10cf5
S000000327,C4NEWS,dev,NEG-Mismatch-S,0,46,46,1,6205db3c1755bf9d,5186fb1971fcf66c
S000000328,C4NEWS,dev,NEG-Mismatch-S,0,46,46,1,eb1f78a49082d20e,5186fb1971fcf66c
S000000329,C4NEWS,dev,NEG-Mismatch-S,0,46,46,1,9784cfbc046eb08e,5186fb1971fcf66c
S000000330,C4NEWS,dev,POS,1,47,47,0,234771803e01740a,16f32a747722b447
S000000331,C4NEWS,dev,NEG-Anchor,0,47,47,0,234771803e01740a,23b3357ae9c67fb5
S000000332,C4NEWS,dev,NEG-neutral,0,47,47,0,234771803e01740a,bc7bd0203ac01b4f
S000000333,C4NEWS,dev,NEG-wrong_ref_s,0,47,47,0,234771803e01740a,ccfc25c75d18f4b2
S000000334,C4NEWS,dev,NEG-Mismatch-S,0,47,47,1,6a3b6bbddb4bf757,16f32a747722b447
S000000335,C4NEWS,dev,NEG-Mismatch-S,0,47,47,1,535432ef6d04838a,16f32a747722b447
S000000336,C4NEWS,dev,NEG-Mismatch-S,0,47,47,1,45a5bcbe1566c105,16f32a747722b447
S000000337,C4NEWS,dev,POS,1,48,48,0,eb2c2b2a4b1636f9,0d5693f3e2ab0e8b
S000000338,C4NEWS,dev,NEG-Anchor,0,48,48,0,eb2c2b2a4b1636f9,12ba7b81b9412c82
S000000339,C4NEWS,dev,NEG-neutral,0,48,48,0,eb2c2b2a4b1636f9,8c3db790aec24d5d
S000000341,C4NEWS,dev,NEG-Mismatch-S,0,48,48,1,da80dce2be5ba400,0d5693f3e2ab0e8b
S000000342,C4NEWS,dev,NEG-Mismatch-S,0,48,48,1,753435a48344548c,0d5693f3e2ab0e8b
S000000343,C4NEWS,dev,NEG-Mismatch-S,0,48,48,1,02ddbd740ac96bdc,0d5693f3e2ab0e8b
S000000344,C4NEWS,dev,POS,1,49,49,0,49afd18f6dd80eda,dacf4bdd7a45e473
S000000345,C4NEWS,dev,NEG-Anchor,0,49,49,0,49afd18f6dd80eda,b63ef8c69e22730e
S000000346,C4NEWS,dev,NEG-neutral,0,49,49,0,49afd18f6dd80eda,d9484298e113b178
S000000347,C4NEWS,dev,NEG-wrong_ref_s,0,49,49,0,49afd18f6dd80eda,a6e0b001f7da0099
S000000348,C4NEWS,dev,NEG-Mismatch-S,0,49,49,1,98e1b27874bf9df1,dacf4bdd7a45e473
S000000349,C4NEWS,dev,NEG-Mismatch-S,0,49,49,1,cb778db78df51683,dacf4bdd7a45e473
S000000350,C4NEWS,dev,NEG-Mismatch-S,0,49,49,1,f7b4fef986744e06,dacf4bdd7a45e473
S000000358,C4NEWS,dev,POS,1,51,51,0,eb2b1b31ad2738c3,2c817a65e08c1b8f
S000000359,C4NEWS,dev,NEG-Anchor,0,51,51,0,eb2b1b31ad2738c3,ce3920aba48bd466
S000000360,C4NEWS,dev,NEG-neutral,0,51,51,0,eb2b1b31ad2738c3,b9419041374c2c74
S000000362,C4NEWS,dev,NEG-Mismatch-S,0,51,51,1,36290064db0843cd,2c817a65e08c1b8f
S000000363,C4NEWS,dev,NEG-Mismatch-S,0,51,51,1,91be348c67f8e5ef,2c817a65e08c1b8f
S000000364,C4NEWS,dev,NEG-Mismatch-S,0,51,51,1,273e3b6988d7b7bb,2c817a65e08c1b8f
S000000365,C4NEWS,dev,POS,1,52,52,0,0038e7e90e6b35b5,dd549ab62a1cecad
S000000366,C4NEWS,dev,NEG-Anchor,0,52,52,0,0038e7e90e6b35b5,7ae1a0396c553938
S000000367,C4NEWS,dev,NEG-neutral,0,52,52,0,0038e7e90e6b35b5,41b158b55b319f91
S000000368,C4NEWS,dev,NEG-wrong_ref_s,0,52,52,0,0038e7e90e6b35b5,8508a5aa85f27d3b
S000000369,C4NEWS,dev,NEG-Mismatch-S,0,52,52,1,f6b191b4e6efd437,dd549ab62a1cecad
S000000370,C4NEWS,dev,NEG-Mismatch-S,0,52,52,1,e6955e5e7a334c1f,dd549ab62a1cecad
S000000371,C4NEWS,dev,NEG-Mismatch-S,0,52,52,1,c0e865512528bf10,dd549ab62a1cecad
S000000372,C4NEWS,dev,POS,1,53,53,0,376afe7e493c2cf1,110e08b210525fae
S000000373,C4NEWS,dev,NEG-Anchor,0,53,53,0,376afe7e493c2cf1,798efad676a81ec5
S000000374,C4NEWS,dev,NEG-neutral,0,53,53,0,376afe7e493c2cf1,a6f532ff076e90f0
S000000375,C4NEWS,dev,NEG-wrong_ref_s,0,53,53,0,376afe7e493c2cf1,70f09973708e9cff
S000000376,C4NEWS,dev,NEG-Mismatch-S,0,53,53,1,62e1ce5d9835592c,110e08b210525fae
S000000377,C4NEWS,dev,NEG-Mismatch-S,0,53,53,1,92d027baafd74fa0,110e08b210525fae
S000000378,C4NEWS,dev,NEG-Mismatch-S,0,53,53,1,4608ce6bec0527c7,110e08b210525fae
